lookup_ref,ref1,ref2,ref3,ref4
sisca,1001,Non-Financial Investment Funds,4,TABLE 9. Financial Assets and Liabilities of Private Non-Financial Investment Funds ($ million)
sisca,1009,Other Non-Financial Corporations,4,TABLE 10. Financial Assets and Liabilities of Other Private Non-Financial Corporations ($ million)
sisca,1009,Other Non-Financial Corporations,4,TABLE 12. Financial Assets and Liabilities of Public Non-Financial Corporations ($ million)
sisca,2,Financial Corporations,1,
sisca,21,Financial Intermediaries,2,
sisca,211,Reserve Bank of Australia,3,
sisca,2110,Reserve Bank of Australia,4,TABLE 15. Financial Assets and Liabilities of the Central Bank ($ million)
sisca,212,Depository Corporations,3,
sisca,2121,Authorised Deposit-Taking Institutions,4,TABLE 16. Financial Assets and Liabilities of Authorised Deposit taking Institutions ($ million)
sisca,2129,Other Broad Money Institutions,4,TABLE 17. Financial Assets and Liabilities of Other Broad Money Institutions ($ million)
sisca,213,Superannuation Funds and Insurance Corporations,3,
sisca,2131,Superannuation Funds,4,TABLE 18. Financial Assets and Liabilities of Pension Funds ($ million)
sisca,2132,Life Insurance Corporations,4,TABLE 20. Financial Assets and Liabilities of Life Insurance Corporations ($ million)
sisca,2133,Non-Life Insurance Corporations,4,TABLE 21. Financial Assets and Liabilities of Non-Life Insurance Corporations ($ million)
sisca,214,Financial Investment Funds,3,
sisca,2141,Money Market Funds,4,TABLE 22. Financial Assets and Liabilities of Money Market Financial Investment Funds ($ million)
sisca,2142,Non-Money Market Financial Investment Funds,4,TABLE 23. Financial Assets and Liabilities of Non-Money Market Financial Investment Funds ($ million)
sisca,219,Securitisers and Other Financial Intermediaries,3,
sisca,2191,Securitisers,4,TABLE 25. Financial Assets and Liabilities of Securitisers ($ million)
sisca,2199,Other Financial Intermediaries,4,TABLE 26. Financial Assets and Liabilities of Other Financial Corporations ($ million)
sisca,22,Financial Auxiliaries,2,
sisca,220,Financial Auxiliaries,3,
sisca,2200,Financial Auxiliaries,4,x
sisca,23,Captive Financial Institutions and Money Lenders,2,
sisca,230,Captive Financial Institutions and Money Lenders,3,
sisca,2301,Central Borrowing Authorities,4,TABLE 24. Financial Assets and Liabilities of Central Borrowing Authorities ($ million)
sisca,2309,Money Lenders and Other Captive Financial Institutions,4,x
sisca,3,General Government,1,
sisca,30,General Government,2,
sisca,300,General Government,3,
sisca,3000,General Government,4,TABLE 30. Financial Assets and Liabilities of National General Government ($ million)
sisca,3000,General Government,4,TABLE 32. Financial Assets and Liabilities of State and Local General Government ($ million)
sisca,4,Households,1,
sisca,40,Households,2,
sisca,400,Households,3,
sisca,4000,Households,4,TABLE 34. Financial Assets and Liabilities of Households ($ million)
sisca,5,Non-Profit Institutions Serving Households,1,
sisca,50,Non-Profit Institutions Serving Households,2,
sisca,500,Non-Profit Institutions Serving Households,3,
sisca,5000,Non-Profit Institutions Serving Households,4,x
sisca,6,Rest of the World,1,
sisca,60,Rest of the World,2,
sisca,600,Rest of the World,3,
sisca,6000,Rest of the World,4,TABLE 38. Financial Assets and Liabilities of Rest of World ($ million)
